No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
331,Fina Setiawan,"Setiawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,7"
332,Andi Lestari,Lestari Design dan Fotografi,Design dan Fotografi,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,3"
333,Rahayu Gunawan,Gunawan Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,9"
334,Citra Purba,Purba Design dan Fotografi,Design dan Fotografi,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"2,8"
335,Dwi Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,1"
336,Dwi Lestari,Lestari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"3,2"
337,Fitri Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"3,5"
338,Adi Permatasari,Permatasari Design Logo,Design Logo,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,1"
339,Dian Wati,Wati Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,3"
340,Agus Lestari,Lestari Tukang AC,Tukang AC,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"3,5"
341,Adi Ningsih,Ningsih Tukang AC,Tukang AC,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,4
342,Hadi Wijaya,Wijaya Tukang AC,Tukang AC,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,3"
343,Sinta Hartono,Hartono Tukang Kayu,Tukang Kayu,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,1"
344,Dwi Wibowo,Wibowo Instalasi Listrik,Instalasi Listrik,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,4
345,Rina Kusuma,Kusuma Tukang Kayu,Tukang Kayu,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,9"
346,Ahmad Utami,Utami Design dan Fotografi,Design dan Fotografi,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,4
347,Rizki Gunawan,"Gunawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,2"
348,Rina Pratama,Pratama Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,9"
349,Yanti Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,6"
350,Arif Sari,Sari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,8"
351,Sari Utami,Utami Design Logo,Design Logo,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"3,2"
352,Fitri Setiawan,Setiawan Tukang Aluminium,Tukang Aluminium,Pekalongan,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"2,8"
353,Fina Saputri,Saputri Design dan Cetak,Design dan Cetak,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,4
354,Maya Utami,Utami Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,9"
355,Ratna Hadi,Hadi Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,2"
356,Adi Setiawan,Setiawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,8"
357,Eko Hadi,Hadi Design Logo,Design Logo,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,7"
358,Hendra Utami,"Utami Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"2,8"
359,Yanti Pratama,Pratama Tukang Kayu,Tukang Kayu,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,6"
360,Dwi Ningsih,Ningsih Tukang Aluminium,Tukang Aluminium,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"2,8"
361,Wati Wijaya,Wijaya Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,4
362,Dewi Wijaya,Wijaya Design dan Fotografi,Design dan Fotografi,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,9"
363,Andi Nugroho,Nugroho Tukang AC,Tukang AC,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,4
364,Dian Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,6"
365,Rini Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,6"
366,Linda Ningsih,Ningsih Instalasi Pipa,Instalasi Pipa,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,3"
367,Dewi Wati,Wati Design Logo,Design Logo,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"3,5"
368,Fitri Kusuma,Kusuma Design Logo,Design Logo,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,3"
369,Putri Wati,Wati Tukang Kayu,Tukang Kayu,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"3,2"
370,Surya Lestari,"Lestari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"2,8"
371,Sari Kurniawan,Kurniawan Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,6"
372,Ani Pratama,Pratama Tukang AC,Tukang AC,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,3"
373,Rina Lestari,"Lestari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,2"
374,Ivan Ningsih,"Ningsih Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,5"
375,Putri Lestari,Lestari Tukang Aluminium,Tukang Aluminium,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,5"
376,Dian Ningsih,"Ningsih Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,6"
377,Eko Saputra,Saputra Design Logo,Design Logo,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,2"
378,Arief Permatasari,Permatasari Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,9"
379,Joko Kusuma,Kusuma Tukang Aluminium,Tukang Aluminium,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,1"
380,Nina Wibowo,Wibowo Design Logo,Design Logo,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,8"
381,Sari Saputri,Saputri Tukang Kayu,Tukang Kayu,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"3,2"
382,Dwi Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,1"
383,Wati Kusuma,"Kusuma Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,3"
384,Putri Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,8"
385,Joko Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"3,2"
386,Andi Sari,Sari Tukang Aluminium,Tukang Aluminium,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,8"
387,Surya Setiawan,Setiawan Design Logo,Design Logo,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,1"
388,Ratna Ningsih,"Ningsih Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"3,5"
389,Maya Saputri,Saputri Design Logo,Design Logo,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,9"
390,Wati Gunawan,Gunawan Tukang Aluminium,Tukang Aluminium,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,9"
391,Rina Lestari,Lestari Design Logo,Design Logo,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,2"
392,Ivan Lestari,Lestari Instalasi Pipa,Instalasi Pipa,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"3,2"
393,Citra Ningsih,Ningsih Design Logo,Design Logo,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,6"
394,Linda Lestari,Lestari Design Logo,Design Logo,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
395,Arif Sari,Sari Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,8"
396,Eko Saputri,Saputri Tukang AC,Tukang AC,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,9"
397,Ani Saputri,"Saputri Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,6"
398,Ani Gunawan,Gunawan Design Logo,Design Logo,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,4
399,Sari Purba,Purba Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,9"
400,Agus Saputra,"Saputra Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,1"
401,Ani Pratama,Pratama Design dan Cetak,Design dan Cetak,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,9"
402,Sinta Hartono,"Hartono Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,5"
403,Arief Utami,Utami Foto dan Videografi,Foto dan Videografi,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,7"
404,Yanti Hartono,Hartono Design dan Cetak,Design dan Cetak,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"3,2"
405,Dewi Gunawan,Gunawan Tukang Aluminium,Tukang Aluminium,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,1"
406,Andi Saputra,Saputra Tukang Aluminium,Tukang Aluminium,Tasikmalaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,8"
407,Rudi Lestari,Lestari Tukang Aluminium,Tukang Aluminium,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,1"
408,Dewi Kurniawan,Kurniawan Design dan Cetak,Design dan Cetak,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,5"
409,Arif Utami,Utami Design dan Cetak,Design dan Cetak,Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"2,8"
410,Arief Lestari,Lestari Design dan Fotografi,Design dan Fotografi,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"3,2"
411,Rahayu Kusuma,Kusuma Design Logo,Design Logo,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,8"
412,Maya Lestari,Lestari Design Logo,Design Logo,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,2"
413,Ivan Kurniawan,Kurniawan Tukang Kayu,Tukang Kayu,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,3"
414,Yanti Utami,Utami Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,2"
415,Andi Setiawan,Setiawan Design dan Cetak,Design dan Cetak,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,6"
416,Fitri Pratama,Pratama Design Logo,Design Logo,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"3,5"
417,Dewi Lestari,Lestari Instalasi Listrik,Instalasi Listrik,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,8"
418,Hery Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,9"
419,Hendra Utami,"Utami Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,8"
420,Fina Purba,"Purba Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,1"
421,Ratna Susanto,Susanto Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,9"
422,Ahmad Wati,Wati Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,3"
423,Citra Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,1"
424,Nina Pratama,Pratama Design dan Fotografi,Design dan Fotografi,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"3,2"
425,Ani Hadi,"Hadi Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,3"
426,Nina Hadi,Hadi Tukang Kayu,Tukang Kayu,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,7"
427,Dewa Sari,Sari Tukang AC,Tukang AC,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,6"
428,Ratna Ningsih,"Ningsih Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"2,8"
429,Budi Wibowo,Wibowo Instalasi Pipa,Instalasi Pipa,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,3"
430,Toni Sari,Sari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,2"
431,Dian Utami,"Utami Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,8"
432,Ahmad Wijaya,Wijaya Design dan Cetak,Design dan Cetak,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,4
433,Ahmad Wibowo,Wibowo Design Logo,Design Logo,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,8"
434,Surya Purba,Purba Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,5"
435,Arif Kurniawan,Kurniawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,7"
436,Ratna Kurniawan,Kurniawan Tukang Aluminium,Tukang Aluminium,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,9"
437,Rina Wibowo,Wibowo Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,7"
438,Hendra Wati,Wati Tukang Aluminium,Tukang Aluminium,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,6"
439,Siti Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"3,2"
440,Joko Nugroho,"Nugroho Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,1"
441,Arif Lestari,Lestari Tukang AC,Tukang AC,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,7"
442,Surya Saputri,Saputri Design dan Fotografi,Design dan Fotografi,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"3,2"
443,Hadi Pratama,Pratama Tukang Kayu,Tukang Kayu,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,9"
444,Surya Saputra,"Saputra Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,8"
445,Andi Hadi,Hadi Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,6"
446,Arief Purba,"Purba Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,8"
447,Dewi Ningsih,Ningsih Instalasi Pipa,Instalasi Pipa,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,9"
448,Rina Ningsih,Ningsih Design Logo,Design Logo,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,7"
449,Arif Gunawan,"Gunawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,3"
450,Toni Sari,Sari Instalasi Pipa,Instalasi Pipa,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"3,5"
451,Ratna Purba,Purba Design dan Fotografi,Design dan Fotografi,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,8"
452,Andi Setiawan,"Setiawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,6"
453,Dewa Hadi,"Hadi Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,4
454,Rudi Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,8"
455,Maya Sari,Sari Instalasi Listrik,Instalasi Listrik,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,9"
456,Eko Wibowo,Wibowo Design Logo,Design Logo,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,7"
457,Dewi Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"3,5"
458,Rina Lestari,Lestari Instalasi Pipa,Instalasi Pipa,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"3,5"
459,Dwi Ningsih,Ningsih Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,7"
460,Reza Hadi,Hadi Tukang Kayu,Tukang Kayu,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,7"
461,Dian Wijaya,Wijaya Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,5"
462,Siti Kusuma,Kusuma Design dan Cetak,Design dan Cetak,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
463,Linda Saputri,Saputri Instalasi Listrik,Instalasi Listrik,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,2"
464,Dian Ningsih,Ningsih Foto dan Videografi,Foto dan Videografi,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,5"
465,Siti Hadi,"Hadi Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,6"
466,Citra Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,2"
467,Siti Permatasari,Permatasari Instalasi Pipa,Instalasi Pipa,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,8"
468,Ani Saputri,Saputri Tukang Kayu,Tukang Kayu,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,9"
469,Siti Nugroho,Nugroho Design dan Cetak,Design dan Cetak,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,7"
470,Ivan Gunawan,"Gunawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,7"
471,Hadi Setiawan,Setiawan Foto dan Videografi,Foto dan Videografi,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,2"
472,Hery Saputra,Saputra Design dan Fotografi,Design dan Fotografi,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,2"
473,Citra Purba,Purba Tukang Kayu,Tukang Kayu,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,5"
474,Yanti Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,4
475,Ahmad Hadi,Hadi Design Logo,Design Logo,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,1"
476,Dian Hadi,Hadi Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,1"
477,Sinta Purba,Purba Design Logo,Design Logo,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"3,2"
478,Rahayu Kurniawan,Kurniawan Tukang AC,Tukang AC,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"2,8"
479,Arief Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,9"
480,Wati Utami,"Utami Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,8"
481,Ratna Kusuma,Kusuma Tukang AC,Tukang AC,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,2"
482,Sinta Kurniawan,Kurniawan Design dan Fotografi,Design dan Fotografi,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,5"
483,Arif Purba,"Purba Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"3,5"
484,Yanti Utami,Utami Foto dan Videografi,Foto dan Videografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,4
485,Rahayu Susanto,Susanto Instalasi Listrik,Instalasi Listrik,Tasikmalaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,2"
486,Citra Pratama,Pratama Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,5"
487,Rina Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,1"
488,Rudi Hadi,"Hadi Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,2"
489,Rizki Saputra,Saputra Design dan Fotografi,Design dan Fotografi,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"3,5"
490,Ahmad Ningsih,Ningsih Instalasi Pipa,Instalasi Pipa,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,8"
491,Lina Saputra,Saputra Tukang Kayu,Tukang Kayu,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,2"
492,Linda Hartono,Hartono Instalasi Pipa,Instalasi Pipa,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,8"
493,Fitri Pratama,Pratama Design dan Cetak,Design dan Cetak,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,2"
494,Dewi Nugroho,Nugroho Design Logo,Design Logo,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,7"
495,Rizki Permatasari,Permatasari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"3,5"
